day,transformer,district,SAIFI
2023-09-06,norc167,Dansoman,0.0
2023-09-06,norc421,Kaneshie,0.0
2023-09-06,norc443,Kaneshie,0.0
2023-09-06,norc524,Achimota,0.0
2023-09-07,306,Kaneshie,0.0
2023-09-07,311,Kaneshie,0.3333333333333333
2023-09-07,421,Mampong,1.0
2023-09-07,6,Achimota,0.0
2023-09-07,73,Achimota,0.0
2023-09-09,212,Dansoman,0.0
2023-09-09,324,Kaneshie,0.0
2023-09-09,46,Achimota,0.0
2023-09-09,norc392,Kaneshie,0.0
2023-09-09,norc533,Achimota,0.0
2023-09-10,316,Kaneshie,0.0
2023-09-10,86,Achimota,0.0
2023-09-12,227,Dansoman,0.6697674418604651
2023-09-12,431,Mampong,3.0
2023-09-12,84,Achimota,0.0
2023-09-12,norc377,Kaneshie,1.0
2023-09-12,norc732,Achimota,0.0
2023-09-13,79,Achimota,0.0
2023-09-13,95,Achimota,0.0
2023-09-14,203,Dansoman,0.0
2023-09-14,55,Achimota,0.0
2023-09-15,430,Mampong,0.0
2023-09-17,217,Dansoman,0.0
2023-09-18,65,Achimota,0.0
2023-09-19,4,Achimota,0.0
2023-09-20,427,Mampong,0.0
2023-09-20,66,Achimota,0.0
2023-09-21,norc225,Kaneshie,0.0
2023-09-22,427,Mampong,1.0498177399756987
2023-09-22,51,Achimota,0.9381107491856678
2023-09-22,norc477,Kaneshie,0.0
2023-09-23,428,Mampong,0.0
2023-09-23,norc923,Achimota,0.0
2023-09-24,97,Achimota,0.0
2023-09-24,norc469,Kaneshie,0.0
2023-09-24,norc932,Achimota,0.0
2023-09-25,436,Mampong,0.0
2023-09-25,norc146,Dansoman,0.6689895470383276
2023-09-26,30,Achimota,0.0
2023-09-26,432,Mampong,0.0
2023-09-27,223,Dansoman,0.0
2023-09-27,327,Kaneshie,0.0
2023-09-27,norc930,Achimota,1.0
2023-09-28,17,Achimota,0.0
2023-09-28,201,Dansoman,0.0
2023-09-28,404,Mampong,0.0
2023-09-28,norc606,Achimota,0.0
2023-09-29,206,Dansoman,0.0
2023-09-29,307,Kaneshie,0.0
2023-09-29,83,Achimota,0.0
2023-09-29,87,Achimota,0.3333333333333333
2023-09-30,11,Achimota,0.0
2023-09-30,210,Dansoman,0.0
2023-09-30,236,Dansoman,0.0
2023-09-30,302,Kaneshie,0.0
2023-09-30,94,Achimota,0.0
2023-09-30,norc392,Kaneshie,0.0
2023-10-01,309,Kaneshie,0.0
2023-10-01,66,Achimota,0.0
2023-10-01,69,Achimota,0.0
2023-10-01,93,Achimota,0.0
